localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Salta	Departamento salta capital	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio original $ 187.022. Precio actual $ 149.617.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hermoso Amanecer (hospedaje familiar)	Apartamento entero, 2 dormitorios, 2 baños, 40m²	NA	Precio $ 251.467	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Guemes Salta	Apartamento entero, 2 dormitorios, 2 baños, 1 cocina, 54m²	9,6	Precio $ 369.804	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hotel Nuevo Reyes		9,0	Precio $ 147.922	+ $ 31.064 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento salta capital	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños	NA	Precio original $ 187.022. Precio actual $ 149.617.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamentos Muskuy - Salta Capital	Estudio entero, 1 baño, 1 cocina, 40m²	9,2	Precio $ 185.494	+ $ 38.954 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Virginia Apart	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	8,7	Precio $ 144.224	+ $ 30.287 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Monoambiente Navajas	Apartamento entero, 1 dormitorio, 1 baño, 35m²	NA	Precio $ 102.312	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Apartamento Boutique	Apartamento entero, 1 dormitorio, 1 baño, 52m²	9,2	Precio $ 167.644	+ $ 35.205 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Cabañas Jardines del Prado	Bungalow entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 68m²	8,0	Precio $ 226.320	+ $ 47.527 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Depto Centro Salta	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	7,9	Precio $ 284.009	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Alsina Center Studio	Estudio entero, 1 baño, 1 cocina, 30m²	8,4	Precio original $ 184.902. Precio actual $ 129.431.	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Alquiler temporario en Barrio Tres Cerritos, con cercanía a la Virgen del Cerro	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 20m²	9,6	Precio $ 110.941	+ $ 25.059 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Inner Apart Salta	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 40m²	NA	Precio $ 106.504	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Reyes Catolicos Planta Baja	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 53m²	NA	Precio $ 126.473	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Bethel	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 70m²	10	Precio $ 177.506	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Monumento 20	Apartamento entero, 2 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 18m²	9,0	Precio $ 151.398	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Ahicito - Casa en Tres Cerritos	Casa o chalet entero, 2 dormitorios, 1 baño, 1 cocina, 60m²	NA	Precio $ 186.381	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Hermoso departamento,totalmente amoblado c/cochera	Apartamento entero, 2 dormitorios, 2 baños	10	Precio $ 272.422	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	DEPARTAMENTO CASEROS	Apartamento entero, 1 dormitorio, 3 salas de estar, 1 baño, 1 cocina, 62m²	9,4	Precio $ 123.268	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	IRMAZUL II	Apartamento entero, 2 dormitorios, 1 baño, 60m²	NA	Precio $ 179.158	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Tucumán	Apartamento entero, 1 dormitorio, 2 baños	NA	Precio $ 132.020	Incluye impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Multiespacio Turismo-Trabajo Av Entre Ríos	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño	8,5	Precio $ 144.224	+ $ 30.287 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Alq temporario en Barrio Tres Cerritos, con cercanía a la Virgen del Cerro	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 20m²	9,0	Precio $ 128.199	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
Salta	Departamento Lindo Colonial Salta	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 150m²	8,8	Precio original $ 369.804. Precio actual $ 314.333.	+ $ 66.010 de impuestos y cargos	14 noches, 2 adultos	Salta	2023-5-1	2023-5-15
