localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Resistencia	Cabañas Punta Fabiana	Bungalow entero, 2 dormitorios, 1 sala de estar, 1 baño, 1 cocina, 65m²	8,9	Precio $ 184.902	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	HERMOSA CASA MUY AMPLIA Y BIEN EQUIPADA ¨EL MANÁ¨	Casa o chalet entero, 2 dormitorios, 2 baños, 1 cocina, 100m²	9,2	Precio $ 187.367	+ $ 1.761 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Lo de Cynthia	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 35m²	7,8	Precio $ 78.891	+ $ 18.328 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Margarita Belén	El Descanso		NA	Precio $ 83.822	+ $ 25.985 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento en zona centro	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 35m²	9,6	Precio $ 132.020	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Uriburu B&B		9,0	Precio $ 47.779	+ $ 10.034 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Residencia Frida	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina	9,5	Precio $ 108.476	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Departamento 2 Ambientes Complejo Torres Sarmiento	Apartamento entero, 1 dormitorio, 1 baño, 47m²	NA	Precio $ 110.941	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	DEPARTAMENTO SOLAR	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 33m²	10	Precio original $ 123.268. Precio actual $ 110.941.	Incluye impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
Resistencia	Hostel Cha	2 camas en habitación compartida	9,1	Precio $ 73.961	+ $ 15.532 de impuestos y cargos	14 noches, 2 adultos	Chaco	2023-5-1	2023-5-15
