localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Departamento Temporario Apart Teatro	Apartamento entero, 1 dormitorio, 1 baño, 62m²	NA	Precio original $ 141.588. Precio actual $ 134.503.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Relax en la costanera	Apartamento entero, 2 dormitorios, 1 sala de estar, 1 baño, 55m²	9,2	Precio original $ 247.636. Precio actual $ 222.872.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Quinta al sur - Quinta con pileta en Paraná	Casa o chalet entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 15m²	10	Precio $ 263.687	+ $ 55.374 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Alojamiento Liliana	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio $ 165.664	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Departamento Centro con cochera gratis	Apartamento entero, 3 dormitorios, 1 sala de estar, 2 baños, 1 cocina, 85m²	9,8	Precio $ 204.644	+ $ 42.975 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Moreno Suites PB	Apartamento entero, 1 dormitorio, 1 baño, 35m²	8,9	Precio $ 140.777	+ $ 29.563 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Casa sustentable	Casa o chalet entero, 3 dormitorios, 1 sala de estar, 1 baño, 200m²	NA	Precio $ 140.327	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Mar de Sueños - Complejo Turístico y Parque Acuático	Apartamento entero, 2 dormitorios, 1 baño	NA	Precio original $ 270.565. Precio actual $ 257.037.	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Alameda	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 43m²	NA	Precio $ 140.327	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	COMPLEJO Aires del Ñapindá	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina, 30m²	8,9	Precio original $ 303.372. Precio actual $ 266.967.	+ $ 56.063 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	MODERNO DEPTO ZONA PARQUE CON YACUZZI	Apartamento entero, 2 dormitorios, 2 baños, 83m²	NA	Precio $ 436.185	Incluye impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	departamento microcentro	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 49m²	8,5	Precio $ 194.899	+ $ 40.929 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Hotel Provincial		6,5	Precio $ 126.111	+ $ 26.483 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
Paraná	Profundas Raíces	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 48m²	9,0	Precio original $ 756.666. Precio actual $ 643.166.	+ $ 706 de impuestos y cargos	13 noches, 2 adultos	Entre Rios	2023-2-15	2023-2-28
