localizacion	titulo	descripcion	calif	precio	impuesto	noches	provincia	checkin	checkout
Paraná	Departamento Peru	Apartamento entero, 1 dormitorio, 1 baño	9,3	Precio $ 11.993.770	+ $ 2.518.692 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento practico, con buena iluminación y ubicación.	Apartamento entero, 1 dormitorio, 1 baño, 36m²	8,0	Precio $ 95.950	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Departamento Alvear	Apartamento entero, 1 dormitorio, 1 baño	9,0	Precio original $ 141.103. Precio actual $ 126.993.	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Amplia Casa 2 Dormitorios Hasta 8 Personas	Apartamento entero, 2 dormitorios, 1 baño, 1 cocina	8,6	Precio $ 206.011	+ $ 45.732 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	E Carbó 916	Apartamento entero, 2 dormitorios, 1 baño, 58m²	10	Precio $ 94.280	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Alameda	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 43m²	NA	Precio $ 86.355	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Posta Batata	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 60m²	9,0	Precio $ 169.324	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Apart ciudad de Parana, Entre Rios	Apartamento entero, 1 dormitorio, 1 sala de estar, 1 baño, 1 cocina, 50m²	8,9	Precio $ 157.055	+ $ 32.982 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	Patagonia Apart Dpto 1	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 30m²	9,6	Precio $ 183.434	+ $ 38.521 de impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
Paraná	BALCÓN AL RíO PARANÁ	Apartamento entero, 1 dormitorio, 1 baño, 1 cocina, 50m²	9,7	Precio $ 239.875	Incluye impuestos y cargos	16 noches, 2 adultos	Entre Rios	2023-5-15	2023-5-31
